Time(d),H2O@,C3AFS0.84H4.32,C3FS0.84H4.32,CSHQ-JenD,CSHQ-JenH,CSHQ-TobD,CSHQ-TobH,KSiOH,NaSiOH,ettr05,Fe-ettr05,monosulf1205,Fe-monosulf05,straet,straet7,ettr,ettr30,C4AH13,monosulf12,tricarboalu03,ettr03_ss,Mg3AlC0.5OH,Mg3FeC0.5OH,M075SH,M15SH,AlOHam,AlOHmic,Gbs,Kln,Gr,C12A7,C2S,C3A,C3S,C4AF,CA,CA2,C2AH7.5,C3AH6,C4AH11,C4AH13,C4AH19,CAH10,monosulf10.5,monosulf14,monosulf16,monosulf9,chabazite,zeoliteP_Ca,straet5.5,monocarb9,hemicarb10.5,hemicarb,hemicarb9,monocarb,ettr13,ettr9,Arg,Cal,C3FH6,C4FH13,C3FS0.84H4.32,C3FS1.34H3.32,Fe-hemicarb,Femonocarb,Dis-Dol,Ord-Dol,Lim,Portlandite,Anh,Gp,hemihydrate,thaumasite,Fe,FeCO3(pr),Sd,Hem,Mag,Fe(OH)3(am),FeOOHmic,Gt,Py,Tro,Melanterite,K2SO4,syngenite,K2O,hydrotalcite,Mgs,Brc,Na2SO4,natrolite,zeoliteX,zeoliteY,Na2O,Sulfur,Qtz,Amor-Sl
0.001,4.9983e-05,0,0,2.8752e-10,2.8089e-09,2.5352e-09,1.9899e-09,8.7706e-13,9.9234e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0187e-11,8.565e-11,0,0,0,0,0,0,5.1858e-06,6.7285e-07,1.9323e-05,3.7758e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1501e-06,0,0,0,0,0,0,0,0,0,2.0809e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011,4.9983e-05,0,0,3.5694e-10,3.2202e-09,2.8514e-09,2.0666e-09,1.0201e-12,1.0662e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8632e-12,8.7725e-11,0,0,0,0,0,0,5.1852e-06,6.7285e-07,1.9323e-05,3.7758e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1503e-06,0,0,0,0,0,0,0,0,0,5.3422e-14,0,0,0,0,0,0,9.384e-12,0,0,0,0,0,0,0,0,0,0
0.00121,4.9982e-05,0,0,4.8159e-10,3.8576e-09,3.3271e-09,2.141e-09,1.2317e-12,1.1659e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1845e-06,6.728e-07,1.9323e-05,3.7758e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1506e-06,0,0,0,0,0,0,0,0,0,1.1445e-12,0,0,0,0,0,0,1.3606e-10,0,0,0,0,0,0,0,0,0,0
0.001331,4.9979e-05,0,0,7.4948e-10,4.8913e-09,4.0482e-09,2.1226e-09,1.5474e-12,1.2929e-14,0,0,0,0,0,0,4.3053e-10,1.0789e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1838e-06,6.7272e-07,1.9322e-05,3.7758e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1509e-06,0,0,0,0,0,0,0,0,0,4.6155e-12,0,0,0,0,0,0,1.8456e-10,0,0,0,0,0,0,0,0,0,0
0.0014641,4.9976e-05,0,0,1.2521e-09,6.3338e-09,5.0155e-09,2.0385e-09,1.9884e-12,1.4325e-14,0,0,0,0,0,0,9.689e-10,2.428e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1831e-06,6.7262e-07,1.9321e-05,3.7758e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1515e-06,0,0,0,0,0,0,0,0,0,1.044e-11,0,0,0,0,0,0,2.5561e-10,0,0,0,0,0,0,0,0,0,0
0.0016105,4.9972e-05,0,0,2.1169e-09,8.1215e-09,6.1857e-09,1.9066e-09,2.5681e-12,1.566e-14,0,0,0,0,0,0,1.6046e-09,4.0171e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1822e-06,6.725e-07,1.9319e-05,3.7758e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1522e-06,0,0,0,0,0,0,0,0,0,1.8629e-11,0,0,0,0,0,0,3.5044e-10,0,3.0623e-13,0,0,0,0,0,0,0,0
0.0017716,4.9966e-05,0,0,3.4384e-09,1.0178e-08,7.5282e-09,1.7903e-09,3.3044e-12,1.6829e-14,0,0,0,0,0,0,3.5475e-09,8.8907e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1812e-06,6.7235e-07,1.9316e-05,3.7757e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1524e-06,0,0,0,0,0,0,0,0,0,2.9342e-11,0,0,0,0,0,0,0,0,2.1214e-10,0,0,0,0,0,0,0,0
0.0019487,4.996e-05,0,0,5.5638e-09,1.2486e-08,9.0173e-09,1.6259e-09,4.2121e-12,1.7795e-14,0,0,0,0,0,0,4.7898e-09,1.1731e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1802e-06,6.7219e-07,1.9313e-05,3.7757e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.153e-06,0,0,0,0,0,0,0,0,0,4.2842e-11,0,0,0,0,0,0,0,0,2.7954e-10,0,0,0,0,0,0,0,0
0.0021436,4.9953e-05,0,0,8.7283e-09,1.4949e-08,1.0627e-08,1.4623e-09,5.3272e-12,1.856e-14,0,0,0,0,0,0,6.1927e-09,1.5388e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1791e-06,6.72e-07,1.9309e-05,3.7756e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1536e-06,0,0,0,0,0,0,0,0,0,5.9463e-11,0,0,0,0,0,0,0,0,3.6118e-10,0,0,0,0,0,0,0,0
0.002358,4.9944e-05,0,0,1.3267e-08,1.7491e-08,1.2331e-08,1.3062e-09,6.6813e-12,1.9151e-14,0,0,0,0,0,0,7.8098e-09,1.9581e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1778e-06,6.7179e-07,1.9304e-05,3.7756e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1542e-06,0,0,0,0,0,0,0,0,0,7.9619e-11,0,0,0,0,0,0,0,0,4.5887e-10,0,0,0,0,0,0,0,0
0.0025937,4.9934e-05,0,0,1.9558e-08,2.0033e-08,1.4105e-08,1.1608e-09,8.3106e-12,1.9599e-14,0,0,0,0,0,0,9.6916e-09,2.4097e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1764e-06,6.7155e-07,1.9298e-05,3.7755e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1547e-06,0,0,0,0,0,0,0,0,0,1.0379e-10,0,0,0,0,0,0,0,0,5.7472e-10,0,0,0,0,0,0,0,0
0.0028531,4.9922e-05,0,0,2.8022e-08,2.2499e-08,1.592e-08,1.027e-09,1.0261e-11,1.9935e-14,0,0,0,0,0,0,1.1805e-08,2.9608e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1749e-06,6.7127e-07,1.9291e-05,3.7754e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.155e-06,0,0,0,0,0,0,0,0,0,1.3255e-10,0,0,0,0,0,0,0,0,7.112e-10,0,0,0,0,0,0,0,0
0.0031384,4.9909e-05,0,0,3.9101e-08,2.4819e-08,1.7749e-08,9.0558e-10,1.2581e-11,2.0187e-14,0,0,0,0,0,0,1.4231e-08,3.5672e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1733e-06,6.7096e-07,1.9283e-05,3.7753e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1552e-06,0,0,0,0,0,0,0,0,0,1.6655e-10,0,0,0,0,0,0,0,0,8.711e-10,0,0,0,0,0,0,0,0
0.0034523,4.9893e-05,0,0,5.3301e-08,2.692e-08,1.9558e-08,7.9359e-10,1.5329e-11,2.0375e-14,0,0,0,0,0,0,1.6982e-08,4.2613e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1714e-06,6.7061e-07,1.9273e-05,3.7752e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9003e-13,0,3.1553e-06,0,0,0,0,0,0,0,0,0,2.0653e-10,0,0,0,0,0,0,0,0,1.0576e-09,0,0,0,0,0,0,0,0
0.0037975,4.9877e-05,0,0,5.5275e-08,3.4388e-08,2.4623e-08,1.2306e-09,1.9573e-11,2.0565e-14,0,0,0,0,0,0,2.0105e-08,5.0436e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1695e-06,6.7022e-07,1.9262e-05,3.775e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3307e-08,0,3.1536e-06,0,0,0,0,0,0,0,0,0,2.5337e-10,0,0,0,0,0,0,0,0,1.2743e-09,0,0,0,0,0,0,0,0
0.0041773,4.9858e-05,0,0,6.4957e-08,4.041e-08,2.8935e-08,1.4463e-09,2.431e-11,2.0681e-14,0,0,0,0,0,0,2.3645e-08,5.9317e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1673e-06,6.6978e-07,1.9249e-05,3.7749e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.195e-08,0,3.1526e-06,0,0,0,0,0,0,0,0,0,3.0817e-10,0,0,0,0,0,0,0,0,1.526e-09,0,0,0,0,0,0,0,0
0.004595,4.9835e-05,0,0,7.6094e-08,4.7337e-08,3.3895e-08,1.6942e-09,3.0091e-11,2.0765e-14,0,0,0,0,0,0,2.765e-08,6.9364e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1649e-06,6.6929e-07,1.9233e-05,3.7747e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1965e-08,0,3.1514e-06,0,0,0,0,0,0,0,0,0,3.7203e-10,0,0,0,0,0,0,0,0,1.8171e-09,0,0,0,0,0,0,0,0
0.0050545,4.9809e-05,0,0,8.8877e-08,5.5288e-08,3.9589e-08,1.9787e-09,3.7129e-11,2.0827e-14,0,0,0,0,0,0,3.2176e-08,8.0718e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1622e-06,6.6873e-07,1.9216e-05,3.7744e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3538e-08,0,3.1501e-06,0,0,0,0,0,0,0,0,0,4.463e-10,0,0,0,0,0,0,0,0,2.153e-09,0,0,0,0,0,0,0,0
0.0055599,4.978e-05,0,0,1.0352e-07,6.4398e-08,4.6115e-08,2.305e-09,4.5675e-11,2.0872e-14,0,0,0,0,0,0,3.7283e-08,9.3531e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1593e-06,6.6811e-07,1.9195e-05,3.7742e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6882e-08,0,3.1486e-06,0,0,0,0,0,0,0,0,0,5.3249e-10,0,0,0,0,0,0,0,0,2.5399e-09,0,0,0,0,0,0,0,0
0.0061159,4.9746e-05,0,0,1.2028e-07,7.4819e-08,5.3578e-08,2.6778e-09,5.6034e-11,2.0904e-14,0,0,0,0,0,0,4.3042e-08,1.0797e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1562e-06,6.6741e-07,1.9171e-05,3.7738e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2232e-08,0,3.147e-06,0,0,0,0,0,0,0,0,0,6.3233e-10,0,0,0,0,0,0,0,0,2.9844e-09,0,0,0,0,0,0,0,0
0.0067275,4.9707e-05,0,0,1.3941e-07,8.6719e-08,6.2101e-08,3.1036e-09,6.856e-11,2.0928e-14,0,0,0,0,0,0,4.9526e-08,1.2424e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1527e-06,6.6664e-07,1.9144e-05,3.7735e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9855e-08,0,3.1452e-06,0,0,0,0,0,0,0,0,0,7.4779e-10,0,0,0,0,0,0,0,0,3.4941e-09,0,0,0,0,0,0,0,0
0.0074002,4.9663e-05,0,0,1.6123e-07,1.0028e-07,7.1819e-08,3.5894e-09,8.3666e-11,2.0946e-14,0,0,0,0,0,0,5.6823e-08,1.4254e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1489e-06,6.6577e-07,1.9113e-05,3.7731e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1004e-07,0,3.1431e-06,0,0,0,0,0,0,0,0,0,8.8113e-10,0,0,0,0,0,0,0,0,4.0776e-09,0,0,0,0,0,0,0,0
0.0081403,4.9613e-05,0,0,1.8605e-07,1.1572e-07,8.2877e-08,4.1415e-09,1.019e-10,2.0959e-14,0,0,0,0,0,0,6.5023e-08,1.6312e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1447e-06,6.6481e-07,1.9077e-05,3.7726e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3313e-07,0,3.1408e-06,0,0,0,0,0,0,0,0,0,1.0349e-09,0,0,0,0,0,0,0,0,4.744e-09,0,0,0,0,0,0,0,0
0.0089543,4.9556e-05,0,0,2.1426e-07,1.3326e-07,9.5439e-08,4.7695e-09,1.2369e-10,2.0969e-14,0,0,0,0,0,0,7.4231e-08,1.8623e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1401e-06,6.6373e-07,1.9036e-05,3.772e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5946e-07,0,3.1383e-06,0,0,0,0,0,0,0,0,0,1.212e-09,0,0,0,0,0,0,0,0,5.5037e-09,0,0,0,0,0,0,0,0
0.0098497,4.9492e-05,0,0,2.4623e-07,1.5314e-07,1.0968e-07,5.4808e-09,1.4994e-10,2.0976e-14,0,0,0,0,0,0,8.4561e-08,2.1213e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1351e-06,6.6254e-07,1.8989e-05,3.7714e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8943e-07,0,3.1354e-06,0,0,0,0,0,0,0,0,0,1.4158e-09,0,0,0,0,0,0,0,0,6.368e-09,0,0,0,0,0,0,0,0
0.010835,4.9419e-05,0,0,2.8242e-07,1.7564e-07,1.258e-07,6.2864e-09,1.8117e-10,2.0981e-14,0,0,0,0,0,0,9.6135e-08,2.4118e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1296e-06,6.6122e-07,1.8936e-05,3.7707e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2348e-07,0,3.1322e-06,0,0,0,0,0,0,0,0,0,1.65e-09,0,0,0,0,0,0,0,0,7.349e-09,0,0,0,0,0,0,0,0
0.011918,4.9337e-05,0,0,3.2329e-07,2.0105e-07,1.4401e-07,7.1959e-09,2.1847e-10,2.0985e-14,0,0,0,0,0,0,1.0909e-07,2.7369e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1237e-06,6.5975e-07,1.8875e-05,3.7698e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6205e-07,0,3.1287e-06,0,0,0,0,0,0,0,0,0,1.9188e-09,0,0,0,0,0,0,0,0,8.4602e-09,0,0,0,0,0,0,0,0
0.01311,4.9244e-05,0,0,3.6933e-07,2.2967e-07,1.6452e-07,8.2199e-09,2.6288e-10,2.0988e-14,0,0,0,0,0,0,1.2358e-07,3.1002e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1171e-06,6.5812e-07,1.8807e-05,3.7689e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0564e-07,0,3.1247e-06,0,0,0,0,0,0,0,0,0,2.2271e-09,0,0,0,0,0,0,0,0,9.7154e-09,0,0,0,0,0,0,0,0
0.014421,4.914e-05,0,0,4.2107e-07,2.6184e-07,1.8756e-07,9.3707e-09,3.1548e-10,2.0991e-14,0,0,0,0,0,0,1.3976e-07,3.506e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11e-06,6.5633e-07,1.873e-05,3.7677e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5477e-07,0,3.1203e-06,0,0,0,0,0,0,0,0,0,2.5801e-09,0,0,0,0,0,0,0,0,1.113e-08,0,0,0,0,0,0,0,0
0.015863,4.9023e-05,0,0,4.7905e-07,2.9788e-07,2.1339e-07,1.0661e-08,3.7749e-10,2.0992e-14,0,0,0,0,0,0,1.578e-07,3.9587e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1023e-06,6.5434e-07,1.8643e-05,3.7665e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0997e-07,0,3.1155e-06,0,0,0,0,0,0,0,0,0,2.9841e-09,0,0,0,0,0,0,0,0,1.2719e-08,0,0,0,0,0,0,0,0
0.017449,4.8893e-05,0,0,5.4384e-07,3.3815e-07,2.4225e-07,1.2103e-08,4.505e-10,2.0994e-14,0,0,0,0,0,0,1.7789e-07,4.463e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0938e-06,6.5216e-07,1.8546e-05,3.765e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7181e-07,0,3.11e-06,0,0,0,0,0,0,0,0,0,3.4457e-09,0,0,0,0,0,0,0,0,1.45e-08,0,0,0,0,0,0,0,0
0.019194,4.8747e-05,0,0,6.1601e-07,3.8301e-07,2.744e-07,1.3709e-08,5.3614e-10,2.0995e-14,0,0,0,0,0,0,2.0023e-07,5.0238e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0846e-06,6.4976e-07,1.8437e-05,3.7634e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4083e-07,0,3.104e-06,0,0,0,0,0,0,0,0,0,3.9725e-09,0,0,0,0,0,0,0,0,1.6487e-08,0,0,0,0,0,0,0,0
0.021114,4.8586e-05,0,0,6.9611e-07,4.3279e-07,3.1008e-07,1.549e-08,6.3636e-10,2.0996e-14,0,0,0,0,0,0,2.2505e-07,5.6462e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0746e-06,6.4713e-07,1.8317e-05,3.7615e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1759e-07,0,3.0973e-06,0,0,0,0,0,0,0,0,0,4.5731e-09,0,0,0,0,0,0,0,0,1.8699e-08,0,0,0,0,0,0,0,0
0.023225,4.8407e-05,0,0,7.8469e-07,4.8784e-07,3.4954e-07,1.746e-08,7.5279e-10,2.0996e-14,0,0,0,0,0,0,2.5256e-07,6.3366e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0638e-06,6.4426e-07,1.8183e-05,3.7594e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0261e-07,0,3.0899e-06,0,0,0,0,0,0,0,0,0,5.2567e-09,0,0,0,0,0,0,0,0,2.1151e-08,0,0,0,0,0,0,0,0
0.025548,4.821e-05,0,0,8.8224e-07,5.4846e-07,3.9299e-07,1.963e-08,8.8752e-10,2.0997e-14,0,0,0,0,0,0,2.83e-07,7.1005e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.052e-06,6.4112e-07,1.8035e-05,3.757e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.964e-07,0,3.0816e-06,0,0,0,0,0,0,0,0,0,6.0338e-09,0,0,0,0,0,0,0,0,2.3857e-08,0,0,0,0,0,0,0,0
0.028102,4.7997e-05,0,0,9.8699e-07,6.1354e-07,4.3965e-07,2.1959e-08,1.0404e-09,2.0997e-14,0,0,0,0,0,0,3.1662e-07,7.944e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0393e-06,6.377e-07,1.7876e-05,3.7542e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9708e-07,0,3.0724e-06,0,0,0,0,0,0,0,0,0,6.9157e-09,0,0,0,0,0,0,0,0,2.677e-08,0,0,0,0,0,0,0,0
0.030913,4.7775e-05,0,0,1.0957e-06,6.811e-07,4.8808e-07,2.4378e-08,1.208e-09,2.0997e-14,0,0,0,0,0,0,3.5369e-07,8.8743e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0255e-06,6.3399e-07,1.7713e-05,3.7511e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0013e-06,0,3.062e-06,0,0,0,0,0,0,0,0,0,7.9151e-09,0,0,0,0,0,0,0,0,2.9803e-08,0,0,0,0,0,0,0,0
0.034004,4.7543e-05,0,0,1.2083e-06,7.5104e-07,5.3823e-07,2.688e-08,1.3919e-09,2.0997e-14,0,0,0,0,0,0,3.9449e-07,9.8979e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0107e-06,6.2998e-07,1.7544e-05,3.7475e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.109e-06,0,3.0502e-06,0,0,0,0,0,0,0,0,0,9.0462e-09,0,0,0,0,0,0,0,0,3.2953e-08,0,0,0,0,0,0,0,0
0.037404,4.7302e-05,0,0,1.3246e-06,8.2331e-07,5.9006e-07,2.9467e-08,1.5923e-09,2.0998e-14,0,0,0,0,0,0,4.3931e-07,1.1023e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9947e-06,6.2564e-07,1.7371e-05,3.7435e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2199e-06,0,3.037e-06,0,0,0,0,0,0,0,0,0,1.0324e-08,0,0,0,0,0,0,0,0,3.622e-08,0,0,0,0,0,0,0,0
